id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Skyline,Nova Verse,r&b,romantic,0.63,96,0.74,0.77,0.44
12,Trailhead Morning,Pine & String,folk,nostalgic,0.46,88,0.68,0.52,0.84
13,Voltage Bloom,Prism Riot,edm,euphoric,0.95,128,0.83,0.91,0.06
14,Dusty Highway Sign,June Carterfield,country,reflective,0.51,104,0.58,0.64,0.67
15,Cipher Nights,Byte Rhythm,hip hop,confident,0.79,98,0.62,0.86,0.21
16,Iron Resolve,Black Forge,metal,aggressive,0.97,168,0.39,0.48,0.03
17,Island Postcard,Saffron Tide,reggae,carefree,0.57,92,0.79,0.72,0.55
18,Moonlit Etude,Aurora Chamber,classical,serene,0.22,66,0.64,0.29,0.95
19,365, Charli xcx,edm,intense,0.94,124,0.72,0.85,0.02
20,Not Like Us,Kendrick Lamar,hip hop,aggressive,0.84,95,0.44,0.89,0.01
21,Pink Pony Club,Chappell Roan,pop,empowered,0.78,115,0.67,0.72,0.08
22,Birds of a Feather,Billie Eilish,pop,romantic,0.52,105,0.45,0.74,0.48
23,Caramel,Sleep Token,metal,haunting,0.71,130,0.28,0.45,0.15
24,Sailor Song,Gigi Perez,folk,melancholy,0.38,82,0.42,0.58,0.88
25,Die With A Smile,Lady Gaga & Bruno Mars,pop,romantic,0.68,92,0.51,0.71,0.35
26,Blue Strips,Jessie Murph,country,soulful,0.55,108,0.61,0.65,0.62
27,Blessings,Calvin Harris,edm,euphoric,0.88,126,0.75,0.80,0.04
28,Seven Serpents,Kreator,metal,aggressive,0.96,172,0.22,0.31,0.01
29,Sienna,The Marías,indie pop,dreamy,0.42,94,0.58,0.69,0.72
30,Stole Ya Flow,A$AP Rocky,hip hop,confident,0.76,92,0.53,0.82,0.14
31,To Live Deliciously,Cradle of Filth,metal,intense,0.94,160,0.18,0.25,0.02
32,Ordinary Loss,HEALTH,rock,dark,0.81,135,0.34,0.55,0.09
33,Lofi Study Session,ChilledCow,lofi,focused,0.32,84,0.52,0.61,0.82
34,Espresso Macchiato,Tommy Cash,pop,quirky,0.74,128,0.79,0.84,0.10
35,Midnight Blitz,Tailgunner,metal,heroic,0.92,158,0.41,0.38,0.02
36,The Fate of Ophelia,Taylor Swift,pop,dramatic,0.64,120,0.49,0.63,0.28
37,Golden,HUNTR/X,edm,energetic,0.91,128,0.72,0.78,0.05
38,Deep Space Echo,Solaris,ambient,calm,0.15,55,0.31,0.22,0.98
39,City Lights,Neon Echo,synthwave,nostalgic,0.77,112,0.53,0.74,0.20
40,Quiet Storm,LoRoom,lofi,chill,0.30,70,0.57,0.59,0.80
41,Thunder Road,Voltline,rock,epic,0.89,140,0.46,0.68,0.12
42,God Is A Woman,Ariana Grande,pop,empowered,0.82,112,0.84,0.76,0.12
43,Good Days,SZA,r&b,melancholic,0.38,92,0.45,0.68,0.71
44,Persuasive,Doechii,hip hop,confident,0.81,104,0.62,0.84,0.08
45,See You Again,Tyler The Creator & Kali Uchis,hip hop,introspective,0.62,96,0.54,0.72,0.35
46,Pink + White,Frank Ocean,r&b,nostalgic,0.35,86,0.48,0.55,0.85
47,Goosebumps,Travis Scott,hip hop,hypnotic,0.71,94,0.59,0.78,0.14
48,Just For Me,PinkPantheress,pop,romantic,0.65,110,0.72,0.71,0.42
49,Astronomy,Conan Gray,pop,emotional,0.48,100,0.51,0.64,0.68
50,drivers license,Olivia Rodrigo,pop,heartbroken,0.55,92,0.42,0.61,0.72
51,Blinding Lights,The Weeknd,pop,energetic,0.90,171,0.80,0.85,0.07
52,Heat Waves,Glass Animals,indie pop,dreamy,0.78,120,0.68,0.77,0.15
53,Nonsense,Sabrina Carpenter,pop,playful,0.70,118,0.75,0.80,0.20
54,The Less I Know The Better,Tame Impala,psychedelic rock,groovy,0.82,120,0.65,0.70,0.25
55,Sunflower,Post Malone & Swae Lee,hip hop,feel-good,0.77,90,0.70,0.80,0.10
56,Watermelon Sugar,Harry Styles,pop,summer,0.85,96,0.78,0.82,0.12
57,Irreplaceable,Beyoncé,r&b,empowered,0.88,118,0.82,0.85,0.09
58,Everything Is Embarrassing,Sky Ferreira,indie pop,awkward,0.60,110,0.50,0.65,0.30
59,Dynamite,BTS,pop,energetic,0.92,114,0.80,0.88,0.05
60,DtMF, Bad Bunny,reggaeton,party,0.85,128,0.75,0.82,0.08
